Name,Label,Prediction
"/scratch0/harrylin/2700564/patch/649-cdmri0012-(8, 8, 8)-(4, 4, 4)-0009-patch-0",1,2
"/scratch0/harrylin/2700564/patch/1242-cdmri0013-(8, 8, 8)-(4, 4, 4)-0002-patch-6",2,2
"/scratch0/harrylin/2700564/patch/10-cdmri0011-(8, 8, 8)-(4, 4, 4)-0003-patch-0",2,2
"/scratch0/harrylin/2700564/patch/1068-cdmri0011-(8, 8, 8)-(4, 4, 4)-0006-patch-5",3,2
"/scratch0/harrylin/2700564/patch/1046-cdmri0011-(8, 8, 8)-(4, 4, 4)-0003-patch-5",2,2
"/scratch0/harrylin/2700564/patch/1243-cdmri0014-(8, 8, 8)-(4, 4, 4)-0002-patch-3",2,2
"/scratch0/harrylin/2700564/patch/179-cdmri0011-(8, 8, 8)-(4, 4, 4)-0000-patch-5",3,2
"/scratch0/harrylin/2700564/patch/534-cdmri0014-(8, 8, 8)-(4, 4, 4)-0003-patch-5",2,2
"/scratch0/harrylin/2700564/patch/3-cdmri0013-(8, 8, 8)-(4, 4, 4)-0007-patch-8",3,2
"/scratch0/harrylin/2700564/patch/257-cdmri0013-(8, 8, 8)-(4, 4, 4)-0006-patch-5",2,2
"/scratch0/harrylin/2700564/patch/511-cdmri0011-(8, 8, 8)-(4, 4, 4)-0004-patch-6",2,2
"/scratch0/harrylin/2700564/patch/691-cdmri0013-(8, 8, 8)-(4, 4, 4)-0008-patch-6",2,2
"/scratch0/harrylin/2700564/patch/495-cdmri0012-(8, 8, 8)-(4, 4, 4)-0009-patch-0",2,2
"/scratch0/harrylin/2700564/patch/422-cdmri0011-(8, 8, 8)-(4, 4, 4)-0003-patch-9",2,2
"/scratch0/harrylin/2700564/patch/1062-cdmri0013-(8, 8, 8)-(4, 4, 4)-0007-patch-2",2,2
"/scratch0/harrylin/2700564/patch/1082-cdmri0014-(8, 8, 8)-(4, 4, 4)-0001-patch-1",2,2
"/scratch0/harrylin/2700564/patch/1227-cdmri0013-(8, 8, 8)-(4, 4, 4)-0003-patch-8",2,2
"/scratch0/harrylin/2700564/patch/1302-cdmri0013-(8, 8, 8)-(4, 4, 4)-0001-patch-7",1,2
"/scratch0/harrylin/2700564/patch/373-cdmri0011-(8, 8, 8)-(4, 4, 4)-0001-patch-0",2,2
"/scratch0/harrylin/2700564/patch/1271-cdmri0014-(8, 8, 8)-(4, 4, 4)-0004-patch-2",2,2
"/scratch0/harrylin/2700564/patch/1144-cdmri0013-(8, 8, 8)-(4, 4, 4)-0004-patch-5",1,2
"/scratch0/harrylin/2700564/patch/1220-cdmri0011-(8, 8, 8)-(4, 4, 4)-0005-patch-2",2,2
"/scratch0/harrylin/2700564/patch/585-cdmri0011-(8, 8, 8)-(4, 4, 4)-0009-patch-9",2,2
"/scratch0/harrylin/2700564/patch/1307-cdmri0014-(8, 8, 8)-(4, 4, 4)-0001-patch-3",2,2
"/scratch0/harrylin/2700564/patch/755-cdmri0013-(8, 8, 8)-(4, 4, 4)-0002-patch-7",2,2
"/scratch0/harrylin/2700564/patch/37-cdmri0011-(8, 8, 8)-(4, 4, 4)-0003-patch-4",2,2
"/scratch0/harrylin/2700564/patch/639-cdmri0011-(8, 8, 8)-(4, 4, 4)-0001-patch-0",2,2
"/scratch0/harrylin/2700564/patch/1134-cdmri0013-(8, 8, 8)-(4, 4, 4)-0009-patch-8",2,2
"/scratch0/harrylin/2700564/patch/1320-cdmri0012-(8, 8, 8)-(4, 4, 4)-0000-patch-9",2,2
"/scratch0/harrylin/2700564/patch/582-cdmri0012-(8, 8, 8)-(4, 4, 4)-0009-patch-4",2,2
"/scratch0/harrylin/2700564/patch/300-cdmri0011-(8, 8, 8)-(4, 4, 4)-0001-patch-9",2,2
"/scratch0/harrylin/2700564/patch/653-cdmri0012-(8, 8, 8)-(4, 4, 4)-0002-patch-5",2,2
"/scratch0/harrylin/2700564/patch/627-cdmri0012-(8, 8, 8)-(4, 4, 4)-0001-patch-9",1,2
"/scratch0/harrylin/2700564/patch/129-cdmri0014-(8, 8, 8)-(4, 4, 4)-0000-patch-6",2,2
"/scratch0/harrylin/2700564/patch/130-cdmri0012-(8, 8, 8)-(4, 4, 4)-0003-patch-6",2,2
"/scratch0/harrylin/2700564/patch/243-cdmri0013-(8, 8, 8)-(4, 4, 4)-0008-patch-4",3,2
"/scratch0/harrylin/2700564/patch/593-cdmri0014-(8, 8, 8)-(4, 4, 4)-0002-patch-5",2,2
"/scratch0/harrylin/2700564/patch/312-cdmri0013-(8, 8, 8)-(4, 4, 4)-0003-patch-6",2,2
"/scratch0/harrylin/2700564/patch/1210-cdmri0013-(8, 8, 8)-(4, 4, 4)-0004-patch-3",2,2
"/scratch0/harrylin/2700564/patch/1145-cdmri0014-(8, 8, 8)-(4, 4, 4)-0003-patch-1",2,2
"/scratch0/harrylin/2700564/patch/466-cdmri0012-(8, 8, 8)-(4, 4, 4)-0001-patch-2",2,2
"/scratch0/harrylin/2700564/patch/696-cdmri0012-(8, 8, 8)-(4, 4, 4)-0008-patch-0",1,2
"/scratch0/harrylin/2700564/patch/589-cdmri0012-(8, 8, 8)-(4, 4, 4)-0000-patch-1",1,2
"/scratch0/harrylin/2700564/patch/541-cdmri0011-(8, 8, 8)-(4, 4, 4)-0007-patch-2",2,2
"/scratch0/harrylin/2700564/patch/1277-cdmri0014-(8, 8, 8)-(4, 4, 4)-0009-patch-8",1,2
"/scratch0/harrylin/2700564/patch/643-cdmri0011-(8, 8, 8)-(4, 4, 4)-0009-patch-0",3,2
"/scratch0/harrylin/2700564/patch/486-cdmri0011-(8, 8, 8)-(4, 4, 4)-0006-patch-9",1,2
"/scratch0/harrylin/2700564/patch/754-cdmri0014-(8, 8, 8)-(4, 4, 4)-0004-patch-3",2,2
"/scratch0/harrylin/2700564/patch/642-cdmri0011-(8, 8, 8)-(4, 4, 4)-0007-patch-3",2,2
"/scratch0/harrylin/2700564/patch/437-cdmri0012-(8, 8, 8)-(4, 4, 4)-0001-patch-2",1,2
"/scratch0/harrylin/2700564/patch/237-cdmri0013-(8, 8, 8)-(4, 4, 4)-0000-patch-8",2,2
"/scratch0/harrylin/2700564/patch/456-cdmri0011-(8, 8, 8)-(4, 4, 4)-0008-patch-0",2,2
"/scratch0/harrylin/2700564/patch/387-cdmri0012-(8, 8, 8)-(4, 4, 4)-0005-patch-3",2,2
"/scratch0/harrylin/2700564/patch/262-cdmri0013-(8, 8, 8)-(4, 4, 4)-0001-patch-4",3,2
"/scratch0/harrylin/2700564/patch/236-cdmri0011-(8, 8, 8)-(4, 4, 4)-0009-patch-0",2,2
"/scratch0/harrylin/2700564/patch/345-cdmri0011-(8, 8, 8)-(4, 4, 4)-0005-patch-4",2,2
"/scratch0/harrylin/2700564/patch/297-cdmri0012-(8, 8, 8)-(4, 4, 4)-0000-patch-7",2,2
"/scratch0/harrylin/2700564/patch/1339-cdmri0014-(8, 8, 8)-(4, 4, 4)-0002-patch-4",2,2
"/scratch0/harrylin/2700564/patch/453-cdmri0012-(8, 8, 8)-(4, 4, 4)-0001-patch-6",1,2
"/scratch0/harrylin/2700564/patch/129-cdmri0011-(8, 8, 8)-(4, 4, 4)-0006-patch-3",2,2
"/scratch0/harrylin/2700564/patch/1126-cdmri0012-(8, 8, 8)-(4, 4, 4)-0009-patch-5",2,2
"/scratch0/harrylin/2700564/patch/1227-cdmri0012-(8, 8, 8)-(4, 4, 4)-0001-patch-8",2,2
"/scratch0/harrylin/2700564/patch/267-cdmri0013-(8, 8, 8)-(4, 4, 4)-0006-patch-9",2,2
"/scratch0/harrylin/2700564/patch/245-cdmri0012-(8, 8, 8)-(4, 4, 4)-0005-patch-3",2,2
"/scratch0/harrylin/2700564/patch/645-cdmri0012-(8, 8, 8)-(4, 4, 4)-0005-patch-3",2,2
